Date,Regime,gate_value,oil_return,slope
2003-03-31,0,0.0,0.03032017100727157,-0.16217084136159282
2003-04-01,0,0.0,-0.05478109908471638,-0.11635006784260514
2003-04-02,0,0.0,-0.03205513121911663,-0.09842381786339763
2003-04-03,0,0.0,0.017361547195901026,-0.09018932874354564
2003-04-04,0,0.0,-0.022277287431823667,-0.09714889123548053
2003-04-07,0,0.0,-0.023145060227492752,-0.05475504322766581
2003-04-08,0,0.0,0.007536371575264489,-0.036825169824812216
2003-04-09,0,0.0,0.03374661177417542,-0.044244728655375085
2003-04-10,0,0.0,-0.06166214568609214,0.0051470588235294325
2003-04-11,0,0.0,0.03893786772642045,0.008132956152758148
2003-04-14,0,0.0,0.00458635483772447,0.028159098908834942
2003-04-15,0,0.0,0.03629221516838771,-0.030210454854039392
2003-04-16,0,0.0,-0.010235503894026863,-0.003086419753086415
2003-04-17,0,0.0,0.03172726461437274,-0.04186046511627912
2003-04-21,0,0.0,0.021689972882613255,-0.04778933680104039
2003-04-22,0,0.0,-0.02768799153116671,-0.013703208556149737
2003-04-23,0,0.0,-0.06489509093988718,0.037446504992867356
2003-04-24,0,0.0,-0.01871904910124647,0.08066860465116275
2003-04-25,0,0.0,-0.05989814158106884,0.1280864197530863
2003-04-28,0,0.0,-0.026188715762705143,0.12712871287128716
2003-04-29,0,0.0,0.0027684415546066084,0.15126382306477087
2003-04-30,1,1.0,0.029957501872661545,0.13300114986584893
2003-05-01,1,1.0,-0.0015343309492610842,0.17927063339731278
2003-05-02,0,0.0,-0.011971566031395386,0.19580419580419592
2003-05-05,0,0.0,0.02645352644821737,0.127884979190314
2003-05-06,0,0.0,-0.029956156999419347,0.20233918128654976
2003-05-07,0,0.0,0.022741392459109652,0.19131097560975624
2003-05-08,0,0.0,0.02632720690632979,0.16406829992576089
2003-05-09,0,0.0,0.026013556986125785,0.1471971066907776
2003-05-12,0,0.0,-0.011274896672540204,0.17666422823701544
2003-05-13,0,0.0,0.041904071628777136,0.10171869519466849
2003-05-14,0,0.0,0.02425621347506892,0.04861348853132482
2003-05-15,0,0.0,-0.022153900156967925,0.08995449772488626
2003-05-16,0,0.0,0.01734949832810286,0.06914344685242511
2003-05-19,0,0.0,-0.00794340215403627,0.04993065187239949
2003-05-20,0,0.0,0.015482848422893667,0.019460566746329816
2003-05-21,0,0.0,0.0074830281152060306,0.037953236191121564
2003-05-22,0,0.0,-0.014334716447737787,0.038844963905122
2003-05-23,0,0.0,0.022098468524898777,0.010423671822461409
2003-05-27,0,0.0,-0.016955306150431265,0.08242134062927498
2003-05-28,0,0.0,-0.027038042219871366,0.01791988756148974
2003-05-29,1,1.0,0.023955320134794896,0.0010291595197255965
2003-05-30,1,1.0,0.013967183283499598,0.019959404600811904
2003-06-02,1,1.0,0.038491812199470364,-0.010091145833333292
2003-06-03,1,1.0,0.0019512201312617493,-0.01591942820013002
2003-06-04,1,1.0,-0.032021220720753175,0.01945655820194572
2003-06-05,1,1.0,0.033968641005148605,-0.024643320363164772
2003-06-06,1,1.0,0.013526776298201763,-0.030070377479206694
2003-06-09,1,1.0,0.003193870488876415,-0.01562499999999995
2003-06-10,1,1.0,0.01141420128444019,-0.021437578814627985
2003-06-11,0,0.0,0.014086944484287755,-0.026111283804787173
2003-06-12,0,0.0,-0.0239080277003798,-0.00668576886341932
2003-06-13,0,0.0,-0.025146392705871323,0.03166829905321588
2003-06-16,1,1.0,0.01651324556116835,0.0019267822736030418
2003-06-17,1,1.0,-0.001928640906405597,0.01158301158301168
2003-06-18,0,0.0,-0.026077096930198575,0.05548216644649933
2003-06-19,0,0.0,-0.013967636458203798,0.06061620897521776
2003-06-20,1,1.0,0.025460128733639602,-0.014038524322559573
2003-06-23,0,0.0,-0.013475964000090329,-0.0029781601588352038
2003-06-24,0,0.0,-0.005641295863376867,0.022296173044925063
2003-06-25,1,1.0,0.05187548760896856,-0.04233807266982622
2003-06-26,1,1.0,-0.08847733680892611,0.034863652053848865
2003-06-27,1,1.0,0.007222731313380531,0.035298149417409226
2003-06-30,1,1.0,0.03270138007855474,0.01791044776119412
2003-07-01,1,1.0,0.008586578516078967,0.00493258796448532
2003-07-02,1,1.0,-0.0039538766501273906,0.06404754044239015
2003-07-03,0,0.0,0.003295981889555905,0.046396841066140185
2003-07-07,0,0.0,-0.0102531078470627,0.07513297872340442
2003-07-08,0,0.0,0.00794706169253194,0.04782321899736145
2003-07-09,0,0.0,0.017977277739897123,0.0498866213151926
2003-07-10,0,0.0,0.0054918568009499616,0.03833762886597931
2003-07-11,0,0.0,0.009299409649082439,0.01851260772422604
2003-07-14,0,0.0,-0.004158010148663677,0.022756410256410283
2003-07-15,0,0.0,0.012739025777429932,-0.02373417721518987
2003-07-16,0,0.0,-0.012739025777429826,-0.01121794871794865
2003-07-17,0,0.0,0.007662872745569097,-0.013676844783715003
2003-07-18,0,0.0,0.01640415333706813,-0.035982478097622096
2003-07-21,0,0.0,-0.009115260347525446,-0.028733817492895487
2003-07-22,0,0.0,-0.0475279361697246,0.025165562913907338
2003-07-23,0,0.0,-0.0023205712386140656,0.054762694988383744
2003-07-24,1,1.0,0.019392555137261548,0.029947916666666723
2003-07-25,1,1.0,-0.013436217209759595,0.036951501154734445
2003-07-28,1,1.0,-0.010947198395260111,0.06771180787191453
2003-07-29,0,0.0,0.007642502724128927,0.03210857332009265
2003-07-30,1,1.0,0.01576387323306415,0.023460410557184713
2003-07-31,0,0.0,-0.004244904333325133,0.03926701570680638
2003-08-01,1,1.0,0.053205731529026704,-0.08253180266832134
2003-08-04,1,1.0,-0.013431406041215226,-0.07452830188679248
2003-08-05,1,1.0,0.016838564362829742,-0.10729746444032165
2003-08-06,1,1.0,-0.017782405867536148,-0.08939250865596475
2003-08-07,1,1.0,0.019944568872031238,-0.10984264116013562
2003-08-08,0,0.0,-0.005569321326109498,-0.09339125038783737
2003-08-11,0,0.0,-0.009978255537194185,-0.07834534628643058
2003-08-12,0,0.0,0.0,-0.09558132246944534
2003-08-13,0,0.0,-0.03378268993875526,-0.0839546191247974
2003-08-14,0,0.0,0.0,-0.08752025931928696
2003-08-15,0,0.0,0.005172982760960769,-0.10996452757175104
2003-08-18,0,0.0,-0.006470420503781117,-0.12366114897760463
2003-08-19,0,0.0,-0.0016241679711331972,-0.11378413524057217
2003-08-20,0,0.0,0.0064809040840831415,-0.1301679586563308
2003-08-21,0,0.0,0.02614111238704353,-0.15135305223410958
